Age,BootcampLoanYesNo,BootcampName,BootcampRecommend,ChildrenNumber,CityPopulation,CodeEventConferences,CodeEventDjangoGirls,CodeEventFCC,CodeEventGameJam,CodeEventGirlDev,CodeEventHackathons,CodeEventMeetup,CodeEventNodeSchool,CodeEventNone,CodeEventOther,CodeEventRailsBridge,CodeEventRailsGirls,CodeEventStartUpWknd,CodeEventWkdBootcamps,CodeEventWomenCode,CodeEventWorkshops,CommuteTime,CountryCitizen,CountryLive,EmploymentField,EmploymentFieldOther,EmploymentStatus,EmploymentStatusOther,ExpectedEarning,FinanciallySupporting,FirstDevJob,Gender,GenderOther,HasChildren,HasDebt,HasFinancialDependents,HasHighSpdInternet,HasHomeMortgage,HasServedInMilitary,HasStudentDebt,HomeMortgageOwe,HoursLearning,ID.x,ID.y,Income,IsEthnicMinority,IsReceiveDisabilitiesBenefits,IsSoftwareDev,IsUnderEmployed,JobApplyWhen,JobInterestBackEnd,JobInterestDataEngr,JobInterestDataSci,JobInterestDevOps,JobInterestFrontEnd,JobInterestFullStack,JobInterestGameDev,JobInterestInfoSec,JobInterestMobile,JobInterestOther,JobInterestProjMngr,JobInterestQAEngr,JobInterestUX,JobPref,JobRelocateYesNo,JobRoleInterest,JobWherePref,LanguageAtHome,MaritalStatus,MoneyForLearning,MonthsProgramming,NetworkID,Part1EndTime,Part1StartTime,Part2EndTime,Part2StartTime,PodcastChangeLog,PodcastCodeNewbie,PodcastCodePen,PodcastDevTea,PodcastDotNET,PodcastGiantRobots,PodcastJSAir,PodcastJSJabber,PodcastNone,PodcastOther,PodcastProgThrowdown,PodcastRubyRogues,PodcastSEDaily,PodcastSERadio,PodcastShopTalk,PodcastTalkPython,PodcastTheWebAhead,ResourceCodecademy,ResourceCodeWars,ResourceCoursera,ResourceCSS,ResourceEdX,ResourceEgghead,ResourceFCC,ResourceHackerRank,ResourceKA,ResourceLynda,ResourceMDN,ResourceOdinProj,ResourceOther,ResourcePluralSight,ResourceSkillcrush,ResourceSO,ResourceTreehouse,ResourceUdacity,ResourceUdemy,ResourceW3S,SchoolDegree,SchoolMajor,StudentDebtOwe,YouTubeCodeCourse,YouTubeCodingTrain,YouTubeCodingTut360,YouTubeComputerphile,YouTubeDerekBanas,YouTubeDevTips,YouTubeEngineeredTruth,YouTubeFCC,YouTubeFunFunFunction,YouTubeGoogleDev,YouTubeLearnCode,YouTubeLevelUpTuts,YouTubeMIT,YouTubeMozillaHacks,YouTubeOther,YouTubeSimplilearn,YouTubeTheNewBoston,BootcampFinish,Set
28,1,128,1,2,0,1,1,1,1,1,1,0,1,1,57,1,1,1,1,1,1,6,76,67,14,36,5,24,41,0,2,3,3,1,1,1,1,1,0,1,25,28,322,436,111,0,0,0,2,1,1,1,1,1,1,0,1,1,1,12,1,1,1,4,1,142,1,14,1,38,3,578,227,233,210,210,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,70,1,1,1,1,1,1,0,1,184,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,1,1,0.0,Train
11,0,65,1,5,0,1,1,1,1,1,0,1,1,1,62,1,1,1,1,1,1,6,76,67,14,36,9,12,35,2,2,1,3,2,1,0,1,0,0,0,61,36,184,379,111,0,0,0,2,3,1,1,1,1,0,0,0,1,0,12,0,1,1,4,1,200,2,14,3,98,3,662,658,659,589,589,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,70,1,1,0,1,1,1,0,7,197,77,1,1,1,1,1,0,1,1,1,1,1,1,1,1,64,1,1,0.0,Train
18,0,12,1,5,2,1,1,1,1,1,1,1,0,1,62,1,1,1,1,1,1,2,76,67,12,36,2,24,63,2,1,3,3,2,0,0,1,2,0,2,61,10,217,867,78,0,0,1,0,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,14,1,122,18,377,473,478,427,427,0,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,70,1,1,1,1,1,1,1,2,68,77,1,1,1,1,1,1,1,1,1,1,1,1,0,1,64,1,1,1.0,Train
49,0,74,1,5,3,1,1,1,1,1,1,0,1,1,62,1,1,1,1,1,1,6,79,70,14,36,9,24,63,2,1,5,3,2,2,2,2,2,2,2,61,8,975,921,111,2,2,1,2,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,62,5,74,13,669,276,282,921,921,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,70,0,1,0,1,1,1,1,10,197,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,1,1,1.0,Train
8,0,3,1,5,0,1,1,1,0,1,0,0,1,1,62,1,1,1,1,0,1,3,57,67,3,36,7,24,63,2,0,3,3,2,0,0,1,2,0,2,61,28,444,673,111,1,0,1,0,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,49,3,38,35,62,5,5,3,3,1,1,1,1,1,1,1,1,1,51,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,70,1,1,0,0,0,1,0,3,197,77,1,1,1,1,1,1,1,1,1,0,1,1,0,1,64,1,1,1.0,Train
16,0,90,1,5,2,1,1,1,1,1,1,0,1,1,62,1,1,1,1,1,1,1,75,20,12,36,2,24,63,2,1,3,3,2,0,0,1,2,1,2,61,5,182,893,69,0,0,1,0,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,17,1,86,12,641,260,265,235,236,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,70,1,1,0,1,1,1,1,2,26,77,1,0,1,1,1,0,1,1,1,1,1,0,0,1,64,1,1,1.0,Train
49,1,1,1,5,3,1,1,0,1,1,1,1,1,1,62,1,1,1,1,1,1,6,79,70,14,36,9,24,63,2,1,5,3,2,2,2,2,2,2,2,61,24,715,921,111,2,2,1,2,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,62,5,1,15,791,367,373,921,921,1,1,1,1,1,1,0,1,1,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,70,1,1,1,1,1,1,1,10,197,77,1,1,1,1,1,1,1,1,1,1,1,1,1,0,64,1,1,1.0,Train
16,1,132,1,5,0,1,1,1,1,1,1,0,1,1,62,1,1,1,1,1,1,6,76,67,14,36,4,24,35,2,2,3,3,2,1,0,1,0,0,0,61,4,1036,807,111,0,0,0,2,3,1,1,1,1,0,1,1,1,1,12,1,1,1,3,0,15,1,14,3,39,4,774,924,926,805,805,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,70,1,0,0,0,1,1,0,4,45,77,1,1,1,1,1,0,0,0,1,1,0,0,1,1,64,1,1,0.0,Train
49,0,108,1,5,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,79,70,14,36,9,24,63,2,2,5,3,2,2,2,2,2,2,2,61,36,76,921,111,2,2,0,2,5,1,1,1,1,1,1,1,1,1,12,1,1,1,0,2,212,3,62,5,86,6,323,1056,1059,921,921,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,70,1,1,0,1,1,1,0,10,197,77,1,1,1,1,0,1,1,1,1,1,1,1,0,1,64,1,1,0.0,Train
14,0,17,1,5,0,1,1,1,1,1,1,1,1,0,62,1,1,1,1,1,1,6,76,67,14,36,4,24,35,2,2,3,3,2,0,0,1,2,0,2,61,17,761,841,111,0,0,0,2,3,0,0,1,0,0,0,1,0,1,12,1,1,1,3,1,134,1,14,3,92,18,543,534,538,481,481,1,1,1,1,1,1,1,1,0,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,197,77,1,1,1,1,0,1,1,1,0,1,1,1,1,1,5,1,1,0.0,Train
25,0,66,1,5,0,0,1,1,1,0,1,0,1,1,62,1,1,1,1,0,0,6,76,67,14,36,5,24,47,2,2,1,3,2,0,0,1,2,0,2,61,14,554,91,111,0,0,0,2,1,1,1,1,1,0,0,1,1,1,12,1,1,1,3,0,149,1,14,1,30,18,439,382,387,344,344,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,70,0,1,0,1,1,1,1,2,178,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,1,1,1.0,Train
24,0,104,1,1,2,0,1,1,1,0,0,0,1,1,62,1,1,0,1,0,0,0,76,67,12,36,2,24,63,0,1,2,3,1,1,1,1,0,0,1,61,17,471,378,47,0,0,1,0,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,14,0,56,12,308,789,791,699,699,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,70,0,1,0,1,1,1,0,7,197,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,1,1,1.0,Train
